coordinates.coordinates,coordinates.type,created_at,geo.coordinates,geo.type,id,place.bounding_box.coordinates,place.bounding_box.type,place.contained_within,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.entities.description.urls,user.entities.url.urls,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.has_extended_profile,user.id,user.id_str,user.is_translation_enabled,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified
"[-95.26597, 29.71838]",Point,Wed Jan 16 20:43:17 +0000 2019,"[29.71838, -95.26597]",Point,1085638642629033994,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Eastside on 610 E Lp NB from Manchester to The Port Of Houston, stop and go traffic back to Hwy 225",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.26597, 29.71838]",Point,Wed Jan 16 14:52:26 +0000 2019,"[29.71838, -95.26597]",Point,1085550348679430152,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Eastside on 610 E Lp NB from Manchester to The Port Of Houston, stop and ... https://t.co/vuUN2yElDh",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38122, 29.68057]",Point,Mon Jan 14 03:45:11 +0000 2019,"[29.68057, -95.38122]",Point,1084657653287211008,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Closed due to road construction on 288 S Fwy NB at The S Lp, stopped traffic back to Reed Rd. #traffic https://t.co/vuUN2yElDh",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.37297, 29.59789]",Point,Mon Jan 14 00:23:18 +0000 2019,"[29.59789, -95.37297]",Point,1084606849578684416,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh,False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.37297, 29.59789]",Point,Sun Jan 13 16:06:35 +0000 2019,"[29.59789, -95.37297]",Point,1084481846363242499,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh,False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.37297, 29.59789]",Point,Sun Jan 13 03:39:54 +0000 2019,"[29.59789, -95.37297]",Point,1084293935357460480,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh,False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Wed Jan 09 17:26:56 +0000 2019,"[29.73221, -95.38322]",Point,1083052514180845568,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #NeSide on 69 SW Fwy Outbound at Fannin and to Spur 527, stop and go traff... https://t.co/vuUN2yElDh",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Wed Jan 09 16:55:07 +0000 2019,"[29.73221, -95.38322]",Point,1083044507740966912,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Harris on 69 SW Fwy Outbound at Fannin and to Spur 527, stopped traffic back to I-10 #traffic",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Wed Jan 09 15:59:26 +0000 2019,"[29.73221, -95.38322]",Point,1083030494424514560,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Downtown on 69 SW Fwy Outbound at Fannin and to Spur 527, stop and go traffic back to Lorraine",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Wed Jan 09 15:59:23 +0000 2019,"[29.73221, -95.38322]",Point,1083030482881789952,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Downtown on 69 SW Fwy Outbound at Fannin and to Spur 527, stopped traffic back to Lorraine #traffic",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Tue Jan 08 18:19:15 +0000 2019,"[29.73221, -95.38322]",Point,1082703294928179200,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #NeSide on 69 SW Fwy Outbound at Fannin, stop and go traffic back to The George R Brown #traffic",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Tue Jan 08 15:20:02 +0000 2019,"[29.73221, -95.38322]",Point,1082658192214118400,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Harris on 69 SW Fwy Outbound at Fannin, stop and go traffic back to I-10, delay of 22 mins #traffic",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
"[-95.38322, 29.73221]",Point,Tue Jan 08 15:05:52 +0000 2019,"[29.73221, -95.38322]",Point,1082654628272054273,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",Polygon,[],United States,US,"Houston, TX",1c69a67ad480e1b1,Houston,city,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,"Road construction, left lane closed in #Harris on 69 SW Fwy Outbound at Fannin, stopped traffic back to I-10, delay of 30 mins #traffic",False,Wed Feb 09 21:09:17 +0000 2011,False,False,Your #1 stop for all your Houston Traffic needs! See a #Traffic issue?  Tweet us or call us on the tip line at 281- 214-0440 #HoustonTexans #HoustonAstros,[],"[{'url': 'http://t.co/cDCHBFKrKR', 'indices': [0, 22], 'display_url': 'ktrh.com/pages/traffic_…', 'expanded_url': 'http://www.ktrh.com/pages/traffic_blog.html'}]",17,False,1927,False,175,True,False,249818911,249818911,False,False,en,107,"Houston, TX",TTN Houston,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,https://pbs.twimg.com/profile_banners/249818911/1373994579,http://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,https://pbs.twimg.com/profile_images/439095145007296512/-ArlzVrH_normal.png,0084B4,FFFFFF,DDEEF6,333333,True,False,TotalTrafficHOU,222870,,none,http://t.co/cDCHBFKrKR,,False
